,Home,Away,ScoreHome,ScoreAway,Season,NonPenaltyGoalsHome,AgeHome,Goals90minHome,NonPenaltyGoalsAway,AgeAway,Goals90minAway,RankingPlaceHome,GoalForHome,GoalAgainstHome,GoalDifferenceHome,PointsHome,TopTeamScorerGoalsHome,RankingPlaceAway,GoalForAway,GoalAgainstAway,GoalDifferenceAway,PointsAway,TopTeamScorerGoalsAway,HomeT,AwayT
82,Arna-Bjørnar,Trondheims-Ørn,2.0,0.0,2017,36.0,22.0,37.0,36.0,22.1,36.0,6.0,39.0,28.0,11.0,35.0,7.0,8.0,36.0,36.0,0.0,30.0,8.0,0,13
83,Vålerenga,Trondheims-Ørn,2.0,2.0,2017,38.0,25.8,38.0,36.0,22.1,36.0,7.0,38.0,33.0,5.0,34.0,7.0,8.0,36.0,36.0,0.0,30.0,8.0,14,13
84,Kolbotn,Trondheims-Ørn,0.0,1.0,2017,16.0,21.9,16.0,36.0,22.1,36.0,10.0,17.0,43.0,-26.0,15.0,5.0,8.0,36.0,36.0,0.0,30.0,8.0,6,13
85,Stabæk,Trondheims-Ørn,5.0,2.0,2017,44.0,25.5,44.0,36.0,22.1,36.0,3.0,46.0,23.0,23.0,43.0,11.0,8.0,36.0,36.0,0.0,30.0,8.0,12,13
86,Klepp,Trondheims-Ørn,1.0,0.0,2017,31.0,23.5,33.0,36.0,22.1,36.0,4.0,34.0,24.0,10.0,40.0,14.0,8.0,36.0,36.0,0.0,30.0,8.0,5,13
87,Sandviken,Trondheims-Ørn,2.0,2.0,2017,23.0,24.4,23.0,36.0,22.1,36.0,9.0,23.0,34.0,-11.0,18.0,6.0,8.0,36.0,36.0,0.0,30.0,8.0,11,13
88,Medkila,LSK Kvinner,0.0,6.0,2017,9.0,20.9,9.0,65.0,24.2,67.0,12.0,9.0,69.0,-60.0,5.0,3.0,1.0,68.0,18.0,50.0,59.0,18.0,9,7
89,Avaldsnes,LSK Kvinner,0.0,1.0,2017,48.0,25.5,49.0,65.0,24.2,67.0,2.0,51.0,17.0,34.0,48.0,11.0,1.0,68.0,18.0,50.0,59.0,18.0,1,7
90,Grand Bodø,LSK Kvinner,0.0,6.0,2017,29.0,22.7,30.0,65.0,24.2,67.0,11.0,30.0,80.0,-50.0,8.0,11.0,1.0,68.0,18.0,50.0,59.0,18.0,3,7
91,Røa,LSK Kvinner,2.0,3.0,2017,42.0,22.8,42.0,65.0,24.2,67.0,5.0,42.0,28.0,14.0,37.0,17.0,1.0,68.0,18.0,50.0,59.0,18.0,10,7
92,Trondheims-Ørn,LSK Kvinner,4.0,1.0,2017,36.0,22.1,36.0,65.0,24.2,67.0,8.0,36.0,36.0,0.0,30.0,8.0,1.0,68.0,18.0,50.0,59.0,18.0,13,7
93,Arna-Bjørnar,LSK Kvinner,1.0,1.0,2017,36.0,22.0,37.0,65.0,24.2,67.0,6.0,39.0,28.0,11.0,35.0,7.0,1.0,68.0,18.0,50.0,59.0,18.0,0,7
94,Vålerenga,LSK Kvinner,2.0,5.0,2017,38.0,25.8,38.0,65.0,24.2,67.0,7.0,38.0,33.0,5.0,34.0,7.0,1.0,68.0,18.0,50.0,59.0,18.0,14,7
95,Kolbotn,LSK Kvinner,1.0,3.0,2017,16.0,21.9,16.0,65.0,24.2,67.0,10.0,17.0,43.0,-26.0,15.0,5.0,1.0,68.0,18.0,50.0,59.0,18.0,6,7
96,Stabæk,LSK Kvinner,0.0,1.0,2017,44.0,25.5,44.0,65.0,24.2,67.0,3.0,46.0,23.0,23.0,43.0,11.0,1.0,68.0,18.0,50.0,59.0,18.0,12,7
97,Klepp,LSK Kvinner,0.0,2.0,2017,31.0,23.5,33.0,65.0,24.2,67.0,4.0,34.0,24.0,10.0,40.0,14.0,1.0,68.0,18.0,50.0,59.0,18.0,5,7
98,Sandviken,LSK Kvinner,1.0,2.0,2017,23.0,24.4,23.0,65.0,24.2,67.0,9.0,23.0,34.0,-11.0,18.0,6.0,1.0,68.0,18.0,50.0,59.0,18.0,11,7
99,Medkila,Røa,1.0,0.0,2017,9.0,20.9,9.0,42.0,22.8,42.0,12.0,9.0,69.0,-60.0,5.0,3.0,5.0,42.0,28.0,14.0,37.0,17.0,9,10
100,Avaldsnes,Røa,0.0,0.0,2017,48.0,25.5,49.0,42.0,22.8,42.0,2.0,51.0,17.0,34.0,48.0,11.0,5.0,42.0,28.0,14.0,37.0,17.0,1,10
101,Grand Bodø,Røa,1.0,2.0,2017,29.0,22.7,30.0,42.0,22.8,42.0,11.0,30.0,80.0,-50.0,8.0,11.0,5.0,42.0,28.0,14.0,37.0,17.0,3,10
102,LSK Kvinner,Røa,6.0,1.0,2017,65.0,24.2,67.0,42.0,22.8,42.0,1.0,68.0,18.0,50.0,59.0,18.0,5.0,42.0,28.0,14.0,37.0,17.0,7,10
103,Trondheims-Ørn,Røa,0.0,0.0,2017,36.0,22.1,36.0,42.0,22.8,42.0,8.0,36.0,36.0,0.0,30.0,8.0,5.0,42.0,28.0,14.0,37.0,17.0,13,10
104,Arna-Bjørnar,Røa,0.0,2.0,2017,36.0,22.0,37.0,42.0,22.8,42.0,6.0,39.0,28.0,11.0,35.0,7.0,5.0,42.0,28.0,14.0,37.0,17.0,0,10
105,Vålerenga,Røa,0.0,2.0,2017,38.0,25.8,38.0,42.0,22.8,42.0,7.0,38.0,33.0,5.0,34.0,7.0,5.0,42.0,28.0,14.0,37.0,17.0,14,10
106,Kolbotn,Røa,0.0,3.0,2017,16.0,21.9,16.0,42.0,22.8,42.0,10.0,17.0,43.0,-26.0,15.0,5.0,5.0,42.0,28.0,14.0,37.0,17.0,6,10
107,Stabæk,Røa,2.0,0.0,2017,44.0,25.5,44.0,42.0,22.8,42.0,3.0,46.0,23.0,23.0,43.0,11.0,5.0,42.0,28.0,14.0,37.0,17.0,12,10
108,Klepp,Røa,1.0,1.0,2017,31.0,23.5,33.0,42.0,22.8,42.0,4.0,34.0,24.0,10.0,40.0,14.0,5.0,42.0,28.0,14.0,37.0,17.0,5,10
109,Sandviken,Røa,0.0,2.0,2017,23.0,24.4,23.0,42.0,22.8,42.0,9.0,23.0,34.0,-11.0,18.0,6.0,5.0,42.0,28.0,14.0,37.0,17.0,11,10
110,Medkila,Kolbotn,1.0,3.0,2017,9.0,20.9,9.0,16.0,21.9,16.0,12.0,9.0,69.0,-60.0,5.0,3.0,10.0,17.0,43.0,-26.0,15.0,5.0,9,6
111,Avaldsnes,Kolbotn,4.0,1.0,2017,48.0,25.5,49.0,16.0,21.9,16.0,2.0,51.0,17.0,34.0,48.0,11.0,10.0,17.0,43.0,-26.0,15.0,5.0,1,6
112,Grand Bodø,Kolbotn,1.0,1.0,2017,29.0,22.7,30.0,16.0,21.9,16.0,11.0,30.0,80.0,-50.0,8.0,11.0,10.0,17.0,43.0,-26.0,15.0,5.0,3,6
113,Røa,Kolbotn,2.0,0.0,2017,42.0,22.8,42.0,16.0,21.9,16.0,5.0,42.0,28.0,14.0,37.0,17.0,10.0,17.0,43.0,-26.0,15.0,5.0,10,6
114,LSK Kvinner,Kolbotn,0.0,0.0,2017,65.0,24.2,67.0,16.0,21.9,16.0,1.0,68.0,18.0,50.0,59.0,18.0,10.0,17.0,43.0,-26.0,15.0,5.0,7,6
115,Trondheims-Ørn,Kolbotn,3.0,2.0,2017,36.0,22.1,36.0,16.0,21.9,16.0,8.0,36.0,36.0,0.0,30.0,8.0,10.0,17.0,43.0,-26.0,15.0,5.0,13,6
116,Arna-Bjørnar,Kolbotn,3.0,0.0,2017,36.0,22.0,37.0,16.0,21.9,16.0,6.0,39.0,28.0,11.0,35.0,7.0,10.0,17.0,43.0,-26.0,15.0,5.0,0,6
117,Vålerenga,Kolbotn,2.0,0.0,2017,38.0,25.8,38.0,16.0,21.9,16.0,7.0,38.0,33.0,5.0,34.0,7.0,10.0,17.0,43.0,-26.0,15.0,5.0,14,6
118,Stabæk,Kolbotn,2.0,0.0,2017,44.0,25.5,44.0,16.0,21.9,16.0,3.0,46.0,23.0,23.0,43.0,11.0,10.0,17.0,43.0,-26.0,15.0,5.0,12,6
119,Klepp,Kolbotn,4.0,1.0,2017,31.0,23.5,33.0,16.0,21.9,16.0,4.0,34.0,24.0,10.0,40.0,14.0,10.0,17.0,43.0,-26.0,15.0,5.0,5,6
120,Sandviken,Kolbotn,1.0,2.0,2017,23.0,24.4,23.0,16.0,21.9,16.0,9.0,23.0,34.0,-11.0,18.0,6.0,10.0,17.0,43.0,-26.0,15.0,5.0,11,6
121,Avaldsnes,Medkila,5.0,0.0,2017,48.0,25.5,49.0,9.0,20.9,9.0,2.0,51.0,17.0,34.0,48.0,11.0,12.0,9.0,69.0,-60.0,5.0,3.0,1,9
122,Grand Bodø,Medkila,4.0,0.0,2017,29.0,22.7,30.0,9.0,20.9,9.0,11.0,30.0,80.0,-50.0,8.0,11.0,12.0,9.0,69.0,-60.0,5.0,3.0,3,9
123,Røa,Medkila,4.0,0.0,2017,42.0,22.8,42.0,9.0,20.9,9.0,5.0,42.0,28.0,14.0,37.0,17.0,12.0,9.0,69.0,-60.0,5.0,3.0,10,9
